SRR2926883	zfGRF_tnt.AT3G42860_col_a
SRR2926882	mTERF_tnt.AT5G23930_col_a
SRR2926881	bZIP_tnt.bZIP69_col_a
SRR2926880	bZIP_tnt.bZIP69_colamp_a
SRR2926879	bZIP_tnt.bZIP68_col_a
SRR2926878	bZIP_tnt.bZIP53_colamp_a
SRR2926877	bZIP_tnt.bZIP52_col_v31
SRR2926876	bZIP_tnt.bZIP52_colamp_a
SRR2926875	bZIP_tnt.bZIP50_col_v31
SRR2926874	bZIP_tnt.bZIP50_colamp_v31
SRR2926873	bZIP_tnt.bZIP48_col_a
SRR2926872	bZIP_tnt.bZIP48_colamp_a
SRR2926871	bZIP_tnt.bZIP44_colamp_a
SRR2926870	bZIP_tnt.bZIP43_col_a
SRR2926869	bZIP_tnt.bZIP42_col_a
SRR2926868	bZIP_tnt.bZIP42_colamp_a
SRR2926867	bZIP_tnt.bZIP3_col_a
SRR2926866	bZIP_tnt.bZIP28_col_a
SRR2926865	bZIP_tnt.bZIP18_col_v31
SRR2926864	bZIP_tnt.bZIP18_colamp_a
SRR2926863	bZIP_tnt.bZIP16_col_v3a
SRR2926862	bZIP_tnt.bZIP16_colamp_a
SRR2926861	bZIP_tnt.VIP1_col_v3a
SRR2926860	bZIP_tnt.VIP1_colamp_a
SRR2926859	bZIP_tnt.TGA9_col_a
SRR2926858	bZIP_tnt.TGA9_colamp_a
SRR2926857	bZIP_tnt.TGA6_col_a
SRR2926856	bZIP_tnt.TGA6_colamp_a
SRR2926855	bZIP_tnt.TGA5_col_v3a
SRR2926854	bZIP_tnt.TGA4_col_a
SRR2926853	bZIP_tnt.TGA4_colamp_a
SRR2926852	bZIP_tnt.TGA3_colamp_a
SRR2926851	bZIP_tnt.TGA2_colamp_v31
SRR2926850	bZIP_tnt.TGA10_col_a
SRR2926849	bZIP_tnt.TGA10_colamp_a
SRR2926848	bZIP_tnt.TGA1_colamp_a
SRR2926847	bZIP_tnt.HY5_colamp_v3a
SRR2926846	bZIP_tnt.GBF6_colamp_a
SRR2926845	bZIP_tnt.GBF5_col_v3a
SRR2926844	bZIP_tnt.GBF5_colamp_a
SRR2926843	bZIP_tnt.AREB3_col_v31
SRR2926842	bZIP_tnt.AREB3_colamp_a
SRR2926841	bZIP_tnt.ABI5_col_v3h
SRR2926840	bZIP_tnt.ABI5_colamp_v3b
SRR2926839	bZIP_tnt.ABF2_col_v3a
SRR2926838	bHLH_tnt.bHLH80_col_a
SRR2926837	bHLH_tnt.bHLH80_colamp_a
SRR2926836	bHLH_tnt.bHLH77_col_a
SRR2926835	bHLH_tnt.bHLH74_col_a
SRR2926834	bHLH_tnt.bHLH74_colamp_a
SRR2926833	bHLH_tnt.bHLH69_col_a
SRR2926832	bHLH_tnt.bHLH64_col_a
SRR2926831	bHLH_tnt.bHLH34_colamp_a
SRR2926830	bHLH_tnt.bHLH28_col_a
SRR2926829	bHLH_tnt.bHLH18_col_a
SRR2926828	bHLH_tnt.bHLH157_col_a
SRR2926827	bHLH_tnt.bHLH130_col_a
SRR2926826	bHLH_tnt.bHLH122_colamp_a
SRR2926825	bHLH_tnt.bHLH122_col100_a
SRR2926824	bHLH_tnt.bHLH104_col_b
SRR2926823	bHLH_tnt.bHLH10_col_a
SRR2926822	bHLH_tnt.bHLH10_colamp_a
SRR2926821	bHLH_tnt.PIF7_col_a
SRR2926820	bHLH_tnt.BIM3_col_a
SRR2926819	bHLH_tnt.BIM2_col_v3b
SRR2926818	bHLH_tnt.BIM1_col_a
SRR2926817	bHLH_tnt.BIM1_colamp_a
SRR2926816	ZFHD_tnt.AtHB32_col200_a
SRR2926815	ZFHD_tnt.ATHB34_col_a
SRR2926814	ZFHD_tnt.ATHB34_colamp_a
SRR2926813	ZFHD_tnt.ATHB33_col_a
SRR2926812	ZFHD_tnt.ATHB33_colamp_a
SRR2926811	ZFHD_tnt.ATHB25_col_a
SRR2926810	ZFHD_tnt.ATHB25_colamp_a
SRR2926809	ZFHD_tnt.ATHB24_col_a
SRR2926808	ZFHD_tnt.ATHB24_colamp_a
SRR2926807	ZFHD_tnt.ATHB23_col_b
SRR2926806	ZFHD_tnt.ATHB23_colamp_a
SRR2926805	WRKY_tnt.WRKY8_colamp_a
SRR2926804	WRKY_tnt.WRKY75_col_a
SRR2926803	WRKY_tnt.WRKY75_colamp_a
SRR2926802	WRKY_tnt.WRKY71_col_a
SRR2926801	WRKY_tnt.WRKY7_colamp_a
SRR2926800	WRKY_tnt.WRKY65_col_a
SRR2926799	WRKY_tnt.WRKY65_colamp_a
SRR2926798	WRKY_tnt.WRKY6_col_a
SRR2926797	WRKY_tnt.WRKY6_colamp_a
SRR2926796	WRKY_tnt.WRKY59_col_a
SRR2926795	WRKY_tnt.WRKY55_col_a
SRR2926794	WRKY_tnt.WRKY50_col_a
SRR2926793	WRKY_tnt.WRKY50_colamp_a
SRR2926792	WRKY_tnt.WRKY47_col_a
SRR2926791	WRKY_tnt.WRKY47_colamp_a
SRR2926790	WRKY_tnt.WRKY46_col_a
SRR2926789	WRKY_tnt.WRKY46_colamp_a
SRR2926788	WRKY_tnt.WRKY45_col_a
SRR2926787	WRKY_tnt.WRKY45_colamp_a
SRR2926786	WRKY_tnt.WRKY43_col_a
SRR2926785	WRKY_tnt.WRKY43_colamp_a
SRR2926784	WRKY_tnt.WRKY42_col_a
SRR2926783	WRKY_tnt.WRKY42_colamp_a
